STOP_ID,latitude,STOP_NAME,longitude,TICKETZONE,ROUTEUSSP,geometry,
18730,-37.744359,134-Merribell Ave/Nicholson St (Coburg),144.977728,1,1,c(321826.478642279, 5820624.49554915)
18732,-37.811375,44-Deepdene Park/Whitehorse Rd (Balwyn),145.068671,1,109,c(329993.507971851, 5813357.45770125)
18733,-37.81175,45-Hardwicke St/Whitehorse Rd (Balwyn),145.071785,1,109,c(330268.50562829, 5813321.50543475)
18734,-37.812242,46-Balwyn Cinema/Whitehorse Rd (Balwyn),145.07593,1,109,c(330634.501579547, 5813274.44040749)
18735,-37.812919,47-Balwyn Rd/Whitehorse Rd (Balwyn),145.081524,"1,2",109,c(331128.504872171, 5813209.44759338)
18736,-37.813199,48-Balwyn Shopping Centre/Whitehorse Rd (Balwyn),145.083788,"1,2",109,c(331328.450849475, 5813182.45931317)
18737,-37.81369,49-Northcote Ave/Whitehorse Rd (Balwyn),145.087956,"1,2",109,c(331696.490423333, 5813135.49961263)
18738,-37.814564,51-Narrak Rd/Whitehorse Rd (Mont Albert),145.09517,"1,2",109,c(332333.530376884, 5813051.49181903)
18781,-37.841755,134-Orrong Rd/Toorak Rd (Toorak),145.014048,1,58,c(325256.467068333, 5809885.5152521)
18782,-37.842166,135-Woorigoleen Rd/Toorak Rd (Toorak),145.017583,1,58,c(325568.497357786, 5809846.51608494)
18783,-37.842461,136-Irving Rd/Toorak Rd (Toorak),145.020086,1,58,c(325789.458437972, 5809818.45328801)
18784,-37.842844,137-Kooyong Rd/Toorak Rd (Toorak),145.023065,1,58,c(326052.50411593, 5809781.51434733)
18785,-37.843231,138-Moonga Rd/Toorak Rd (Toorak),145.026248,1,58,c(326333.518221466, 5809744.49748791)
18786,-37.843615,139-Glenbervie Rd/Toorak Rd (Toorak),145.029817,1,58,c(326648.481465778, 5809708.51754211)
18789,-37.797113,112-Lygon St/Elgin St (Carlton),144.967159,1,"6,1",c(321022.465292911, 5814750.45270562)
18790,-37.794127,113-Lytton St/Lygon St (Carlton),144.968025,1,"6,1",c(321091.49669289, 5815083.45664911)
18791,-37.792689,114-Princes St/Lygon St (Carlton North),144.968269,1,"6,1",c(321109.520637235, 5815243.48483994)
18792,-37.78958,115-Melbourne Cemetery/Lygon St (Carlton North),144.968797,1,"6,1",c(321148.527950966, 5815589.4934737)
18793,-37.78737,116-Fenwick St/Lygon St (Carlton North),144.969186,1,"6,1",c(321177.438097019, 5815835.46592419)
18794,-37.784036,117-Richardson St/Lygon St (Carlton North),144.969732,1,"6,1",c(321217.496062021, 5816206.47546474)
18795,-37.781924,118-Pigdon St/Lygon St (Carlton North),144.970074,1,"6,1",c(321242.526509283, 5816441.48216095)
18899,-37.845278,26-Alfred Hospital/Commercial Rd (South Yarra),144.982225,1,72,c(322464.531523365, 5809434.52666729)
18918,-37.84563,27-Punt Rd/Commercial Rd (South Yarra),144.984863,1,72,c(322697.513024553, 5809400.48207599)
18923,-37.845899,28-Braille Library/Commercial Rd (South Yarra),144.987413,1,72,c(322922.532576038, 5809375.47160794)
18931,-37.846314,29-Porter St/Commercial Rd (South Yarra),144.990583,1,72,c(323202.448300033, 5809335.43059721)
